METER NAME,METER BUILDING LOCATION,ROOM VIDEO, INSTALLATION PHASE,MAIN / SUB,SUB OF,REXED,METER TYPE,SERIAL #,CT RATIO ONE-LINE,PHYSICAL CT PHOTO,CT RATIO PROGRAMMED,PT RATIO PROGRAMMED,IP ADDRESS,SUBNET MASK,GATEWAY #,MULTINET ADDRESS,MODBUS ID,MAC ADDRESS,TEST SWITCH,DEAD PLATE,PLACARD,DATA JACK #,MOXA SWITCH,KEY ACCESS,METER ACCESS,LADDER,TOOLBOX,SOFTWARE OPTION
HIG_PANEL_PBA_MTR,,,1,SUB,HIG_SUBSTATION_3_MAIN_MTR,,PQM2,7324376,,,,,,255.255.252.0,10.181.76.1,10.181.77.130,5,,,,,,,,,,,
HIG_SUBSTATION_1_MAIN_MTR,,,1,MAIN,NULL,,PQM2,7324379,,,,,,255.255.252.0,10.181.76.1,10.181.77.130,1,,,,,,,,,,,
HIG_SUBSTATION_2_MAIN_MTR,,,1,MAIN,NULL,,PQM2,7324427,,,,,,255.255.252.0,10.181.76.1,10.181.77.130,106,,,,,,,,,,,
HIG_SUBSTATION_3_MAIN_MTR,,,1,MAIN,NULL,,PQM2,7324378,,,,,,255.255.252.0,10.181.76.1,10.181.77.130,107,,,,,,,,,,,
HPER_KLUM_GYM_MTR,HPER KLUM,Elec 028,2,SUB,HPER_MAIN_MTR,,GE EPM 7000,179106933,200:05:00,,200:05:00,208:208,10.181.21.140,255.255.252.0,10.181.20.1,,,00-01-58-00-EC-17,Y,Y,LINK,39189,N,182_28A,SAFE,Y,Y,F
HPER_MAIN_MTR,HPER MAIN,Elec 028,2,MAIN,NULL,,GE EPM 7000,179105629,3000:05:00,,3000:05:00,480:480,10.181.21.135,255.255.252.0,10.181.20.1,,,BUS BARS EXPOSED,Y,N,LINK,39190,N,182_28A,BUS BARS EXPOSED,Y,Y,F
HOLMES_HALL_MAIN_A_MTR,HOLMES HALL,Elec B80E,,,,,GE EPM 7000,175590229,,,,,,,,,,POSSIBLY FAULTY TEST SWITCH,Y,Y,LINK,39453,N,,POSSIBLY FAULTY TEST SWITCH,N,Y,
HOLMES_HALL_MAIN_B_MTR ,HOLMES HALL,Elec B80E,,,,,GE EPM 7000,175589237,,, ,,,,,,,POSSIBLY FAULTY TEST SWITCH,Y,Y,LINK,39454,N,,POSSIBLY FAULTY TEST SWITCH,N,Y,
JEFFERSON_HALL_MAIN_MTR,,,3,MAIN,NULL,Y,GE EPM 7000,,NOT DISPLAYED,1600:05:00,,,,,,,,,,,,,,,,,,
JOHNSON_HALL_A_MAIN_MTR,,,3,MAIN,NULL,Y,GE EPM 7000,,NOT DISPLAYED,400:05:00,,,10.181.197.151,,,,,,,,,,,,,,,
JOHNSON_HALL_B_MAIN_MTR,,,3,MAIN,NULL,Y,GE EPM 7000,,NOT DISPLAYED,400:05:00,,,10.191.197.152,,,,,,,,,,,,,,,
KELLER_HALL_MAIN_MTR,KELLER HALL,Room 101A,2,MAIN,NULL,,GE EPM 7000,179102828,1500:05:00,,1500:05:00,208:208,10.180.13.130,255.255.252.0,10.180.12.1,,,00-01-58-00-EB-98,Y,Y,LINK,39176,N,182_28A,SAFE,N,Y,F
KENNEDY_THEATRE_MAIN_MTR,KENNEDY THEATRE,Elec 109CA,STAND ALONE PROJECT,MAIN,NULL,,SHARK 200,247829638,1500:05:00,1600:05:00,,,10.181.225.130,255.255.252.0,10.181.224.1,,,00-01-58-01-AA-A7,Y,N,LINK,39178,N,171_206,BUS BARS EXPOSED,Y,Y,V-Switch: 2
KOREAN_STUDIES_MAIN_MTR,KOREAN STUDIES,Exterior,2,MAIN,NULL,,GE EPM 7000,179101928,800:05:00,,800:05:00,208:208,10.181.221.140,255.255.252.0,10.181.220.1,,,00-01-58-00-EC-9E,Y,Y,LINK,39179,N,182_28A,SAFE,N,Y,F
KRAUSS_HALL_MAIN_MTR,KRAUSS HALL,Exterior Mechanical,2,MAIN,NULL,,GE EPM 7000,179107328,800:05:00,,800:05:00,277:277,10.181.85.130,255.255.252.0,10.181.84.1,,,00-01-58-00-EA-D3,Y,Y,LINK,39180,N,182_28A,SAFE,Y,Y,F
KUYKENDALL_HALL_MAIN_MTR,KUYKENDAL HALL,Rm 113 Exterior,3,MAIN,NULL,,GE EPM 7000,220554826,NOT DISPLAYED,2000:05:00,2000:05:00,120:120,10.181.89.130,255.255.252.0,10.181.88.1,,,00-01-58-01-37-DD,Y,Y,LINK,40308,Y,182_28A,SAFE,N,Y,B
LAW_LIB_MAIN_MTR,LAW LIBRARY,Elec A110,2,MAIN,NULL,,GE EPM 7000,179101524,600:05:00,,600:05:00,480:480,10.181.93.135,255.255.252.0,10.181.92.1,,,00-01-58-00-EC-22,Y,Y,LINK,39181,N,Email Building Manager,SAFE,Y,Y,F
LAW_SCHOOL_MAIN_MTR,LAW SCHOOL,Mech 131,2,MAIN,NULL,,GE EPM 7000,179192525,600:05:00,,600:05:00,480:480,10.181.93.130,255.255.252.0,10.181.92.1,,,00-01-58-00-EC-A1,Y,Y,LINK,39182,N,176_28S,SAFE,N,Y,F
LES_MURAKAMI_STADIUM_CONSESS_MTR,LES MURAKAMI STADIUM,Elec Rm,2,SUB,LES_MURAKAMI_STADIUM_MAIN_MTR,Y,GE EPM 7000,179105730,200:05:00,200:05:00,,,,,,,,00-01-5-00-EB-4E,Y,N,LINK,39184,N,Email Facilities,SAFE,Y,Y,
LES_MURAKAMI_STADIUM_MAIN_MTR,LES MURAKAMI STADIUM,Elec Rm,2,MAIN,NULL,,GE EPM 7000,179105326,1200:05:00,1200:05:00,1200:05:00,480:480,10.181.189.140,255.255.252.0,10.181.188.1,,,BUS BARS EXPOSED,N,Y,LINK,39183,N,Email Facilities,BUS BARS EXPOSED,Y,Y,
LIFE_SCIENCES_DP2AEC_2AEC1_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_DP2AEC_2BEC1_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_DP2AEC_2CEC1_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_DP2AM_2AM1_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_DP2AM_2BM1_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_DP2AM_2CM1_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_DP2AM_2DM1_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB1_4A1_MTR,,,,SUB,LIFE_SCIENCES_MSB1_MAIN_MTR,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB1_4B1_MTR,,,,SUB,LIFE_SCIENCES_MSB1_MAIN_MTR,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB1_4C1_MTR,,,,SUB,LIFE_SCIENCES_MSB1_MAIN_MTR,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB1_MAIN_MTR,,,,MAIN,NULL,,GE EPM 7000,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB1_XMR2A_MTR,,,,SUB,LIFE_SCIENCES_MSB1_MAIN_MTR,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB1_XMR2B_MTR,,,,SUB,LIFE_SCIENCES_MSB1_MAIN_MTR,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB1_XMR2C_MTR,,,,SUB,LIFE_SCIENCES_MSB1_MAIN_MTR,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB2_4DM_MTR,,,,SUB,LIFE_SCIENCES_MSB1_MAIN_MTR,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB3_4DES1_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB3_ELEV1_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB3_ELEV2_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB3_XMR2AES_MTR,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB3_XMR2BES_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB3_XMR2CES_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB4_4AEC1_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB4_4BEC1_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIFE_SCIENCES_MSB4_4CEC1_MTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN_HALL_MAIN_MTR,,,3,MAIN,NULL,Y,,,NOT DISPLAYED,500:05:00,,,,,,,,,,,,,,,,,,
MAINTENANCE_SHOP_MAIN_MTR,MAINTENANCE SHOP,Carpenter Shop,3,MAIN,NULL,,GE EPM 7000,219924027,NOT DISPLAYED,400:05:00,400:05:00,120:120,10.181.237.135,255.255.252.0,10.181.236.1,,,00-01-58-01-51-5E,Y,Y,LINK,40325,Y,NO KEY NEEDED,SAFE,Y,Y,B
MALAMA_1_2_EHSO_MAIN_MTR,MALAMA EHSO,Exterior,3,MAIN,NULL,,GE EPM 7000,179106529,NOT DISPLAYED,,200:05:00,120:120,10.181.221.150,255.255.252.0,10.181.220.1,,,WIRING TOO TIGHT,Y,Y,LINK,40324,Y,NO KEY NEEDED,SAFE,N,Y,F
MALAMA_3_4_DIVE_SAFETY_MAIN_MTR,MALAMA DIVE SAFETY,Exterior,3,MAIN,NULL,,GE EPM 7000,220554927,NOT DISPLAYED,100:05:00,100:05:00,120:120,10.181.221.147,255.255.252.0,10.181.220.1,,,WIRING TOO TIGHT,Y,Y,LINK,40332,Y,NO KEY NEEDED,SAFE,N,Y,B
MARINE_SCIENCE_MAIN_A_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.108.1,10.181.109.130,102,,,,,,,,,,,
MARINE_SCIENCE_MAIN_B_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.108.1,10.181.109.131,103,,,,,,,,,,,
MARINE_SCIENCE_MCC_MTR,,,1,SUB,MARINE_SCIENCE_MAIN_A_MTR,,PQM2,,,,,,,255.255.252.0,10.181.108.1,10.181.109.130,2,,,,,,,,,,,
MILLER_HALL_MAIN_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.100.1,10.181.101.130,1,,,,,,,,,,,
MOORE_HALL_MAIN_MTR,,,STAND ALONE PROJECT,MAIN,NULL,,GE EPM 7000,261258125,1500:05:00,,1500:05:00,277:277,10.181.105.130,255.255.252.0,10.181.104.1,,,,,,,,,,,,,F
MULTIPURPOSE_BLDG_MAIN_MTR,MULTIPURPOSE BUILDING,Mech 22,2,MAIN,NULL,,GE EPM 7000,179103829,400:05:00,400:05:00,400:05:00,208:208,10.181.157.135,255.255.252.0,10.181.156.1,,,00-01-58-00-EB-4A,Y,Y,LINK,39186,N,NO KEY NEEDED,SAFE,N,Y,
MUSIC_COMPLEX_MAIN_MTR,MUSIC COMPLEX,Elec 124,2,MAIN,NULL,,GE EPM 7000,179103728,1000:05:00,,1000:05:00,480:480,10.181.113.130,255.255.252.0,10.181.112.1,,,00-01-58-00-EB-20,Y,Y,LINK,39187,N,182_28A,SAFE,N,Y,F
PAMOA_BUILDINGS_MAIN_MTR,PAMOA BUILDING,Exterior,3,MAIN,NULL,,GE EPM 7000,220552218,NOT DISPLAYED,,200:05:00, ,10.181.221.160,255.255.252.0,10.181.220.1,,,WIRING TOO TIGHT,Y,Y,LINK,40323,Y,182_28A,SAFE,N,Y,B
PARADISE_PALMS_MAIN_MTR,,,3,MAIN,NULL,Y,GE EPM 7000,,NOT DISPLAYED,2000:05:00,,,,,,,,,,,,,,,,,,
PARKING_STRUCT_PH_I_MAIN_MTR,PARKING STRUCTURE PHASE 1,Basement,,,NULL,Y,GE EPM 7000,220562522,,1200:05:00,,,10.181.189.177,255.255.252.000,10.181.188.001,,,00-01-58-01-51-BC,Y,Y,LINK,41536,N,Email Vernon,SAFE,Y,Y,
PARKING_STRUCT_PH_II_MAIN_MTR,,,3,MAIN,NULL,Y,GE EPM 7000,,NOT DISPLAYED,1000:05:00,,,,,,,,,,,,,,,,Y,Y,
PBRC_MAIN_A_MTR,PBRC MAIN A,Exterior,2,MAIN,NULL,,GE EPM 7000,179105427,800:05:00,,800:05:00,208:208,10.181.245.130,255.255.252.0,10.181.244.1,,,00-01-58-00-EB-4B,Y,Y,LINK,39188,N,NO KEY NEEDED,SAFE,N,Y,F
PBRC_MAIN_B_MTR,PBRC MAIN B,Exterior,2,MAIN,NULL,,GE EPM 7000,179103021,800:05:00,,800:05:00,208:208,10.181.245.131,255.255.252.0,10.181.244.1,,,00-01-58-00-EC-A0,Y,Y,LINK,39188,N,NO KEY NEEDED,SAFE,N,Y,F
PHYSICAL_PLANT_BLDG_MAIN_MTR,PHYSICAL PLANT BLDG,Exterior,3,MAIN,NULL,,GE EPM 7000,220552824,NOT DISPLAYED,1600:05:00,1600:05:00,120:120,10.181.237.130,255.255.252.0,10.181.236.1,,,00-01-58-01-37-2E,Y,Y,LINK,40326,N,182_28A,SAFE,Y,Y,B
PHYSICAL_SCIENCE_KELLER_COMP_MTR,,,UNKNOWN,SUB,PHYSICAL_SCIENCE_MAIN_MTR,,GE EPM 7000,,1200,,,,10.181.117.130,255.255.252.0,10.181.116.1,,,,,,,,,,,,,
PHYSICAL_SCIENCE_MAIN_MTR,Physical Science,Mech 118,1,MAIN,NULL,,PQM2,,,,1200:05:00,208:208,10.181.117.131,255.255.252.0,10.181.116.1,10.181.117.131,1,,Y,Y,LINK,39117,N,176_28S,SAFE,N,Y,
POPE_LAB_MAIN_MTR,,Mech 102,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.220.1,10.181.221.137,1,,,,,,,,,,,
POST_CHILLER_PLANT_MAIN,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.184.1,10.181.185.135,1,,,,,,,,,,,
POST_MAIN_1,,,1,MAIN,NULL,,PQM2,7234419,,,,,,255.255.252.0,10.181.184.1,10.181.185.130,100,,,,,,,,,,,
POST_MAIN_2,,,1,MAIN,NULL,,PQM2,7234423,,,,,,255.255.252.0,10.181.184.1,10.181.185.131,101,,,,,,,,,,,
QLCSS_MAIN_MTR,QLCSS,Mech 121,2,MAIN,NULL,,GE EPM 7000,179105932,1200:05:00,,1600:05:00,480:480,10.181.121.130,255.255.252.0,10.181.120.1,,,BUS BARS EXPOSED,Y,N,LINK,39191,N,176_28,BUS BARS EXPOSED,N,Y,
QUAD_CHILLER_PLANT_MAIN_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.72.1,10.181.73.135,1,,,,,,,,,,,
SAKAMAKI_HALL_AC_EQPT_MTR,,,1,SUB,SAKAMAKI_HALL_MAIN_MTR,,PQM2,,,,,,,255.255.252.0,10.181.124.1,10.181.125.130,2,,,,,,,,,,,
SAKAMAKI_HALL_MAIN_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.124.1,10.181.125.130,108,,,,,,,,,,,
SAUNDERS_HALL_MAIN_A_MTR,SAUNDERS HALL,Mech 106B,1,MAIN,NULL,,PQM2,7324409,,,,,,255.255.252.0,10.181.128.1,10.181.129.129,1,,,,LINK,39284,N,147B,SAFE,N,Y,
SAUNDERS_HALL_MAIN_B_MTR,SAUNDERS HALL,Mech 106B,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.128.1,10.181.129.130,1,,,,,,N,147B,SAFE,N,Y,
SHERMAN_MAIN_1_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.132.1,10.181.133.130,1,,,,,,,,,,,
SHERMAN_MAIN_2_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.132.1,10.181.133.131,1,,,,,,,,,,,
SINCLAIR_LIB_MAIN_MTR,,,STAND ALONE PROJECT,MAIN,NULL,,GE EPM 7000,,NOT DISPLAYED,2000:05:00,2000:05:00,,,,,,,,,,,,,,,,,
SOFTBALL_TENNIS_MAIN_MTR,SOFTBALL TENNIS ,Exterior,3,MAIN,NULL,,GE EPM 7000,220560621,NOT DISPLAYED,800:05:00,800:05:00,277:277,10.181.189.155,255.255.252.0,10.181.188.1,,,BUS BARS EXPOSED,Y,N,LINK,40334,Y,Email Facilities,BUS BARS EXPOSED,N,Y,B
SPALDING_HALL_MAIN_MTR,,,2,MAIN,NULL,,GE EPM 7000,179106630,2000:05:00,,2000:05:00,208:208,10.181.253.130,255.255.252.0,10.181.252.1,,,,,,,,,,,,,
ST_JOHN_PLANT_SCIENCE_MAIN_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.144.1,10.181.145.130,1,,,,,,,,,,,
STAN_SHERIFF_CTR_MAIN_1_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.188.1,10.181.21.150,1,,,,,,,,,,,
STAN_SHERIFF_CTR_MAIN_2_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.188.1,10.181.21.151,1,,,,,,,,,,,
STUDENT_HEALTH_MAIN_MTR,STUDENT HEALTH,Mech 161,STAND ALONE PROJECT,MAIN,NULL,,GE EPM 7000,274450123,NOT DISPLAYED,,,,10.181.217.130,255.255.252.0,10.181.216.1,,,NO TEST SWITCH,N,Y,LINK,40309,N,182_28A,NO TEST SWITCH,N,Y,
TRANSPORTATION_SRVC_MAIN_MTR,TRANSPORTATION SERVICES,Exterior,3,MAIN,NULL,,GE EPM 7000,220553017,NOT DISPLAYED,200:05:00,200:05:00,120:120,10.181.221.155,255.255.252.0,10.181.220.1,,,WIRING TOO TIGHT,Y,Y,LINK,40327,N, ,SAFE,N,Y,B
UNIV_HIGH_SCHOOL_3_MAIN_MTR,UNIV HIGH SCHOOL,Mech 138,3,MAIN,NULL,,GE EPM 7000,220561420,NOT DISPLAYED,600:05:00,600:05:00,120:120,10.181.157.136,255.255.252.0,10.181.156.1,,,00-01-58-01-52-74,Y,Y,LINK,40312,Y,182_28A,SAFE,N,Y,B
WARRIOR_REC_CTR_MAIN_MTR,,,,MAIN,NULL,Y,GE EPM 7000,,,,,,,,,,,,,,,,,,,,,
WEBSTER_HALL_MAIN_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.152.1,10.181.153.130,1,,,,,,,,,,,
WIST_ANNEX_1_MAIN_MTR,WIST ANNEX,OFC 102A,3,MAIN,NULL,,GE EPM 7000,220309117,NOT DISPLAYED,800:05:00,800:05:00,120:120,10.181.157.130,255.255.252.0,10.181.156.1,,,00-01-58-01-52-A6,Y,Y,LINK,40313,N,?,SAFE,N,Y,B
WIST_HALL_MAIN_MTR,,,,SUB,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
